x	y	type
18	15	2
18	16	1
18	17	2
18	18	3
18	19	2
18	20	0
18	21	2
18	22	3
18	23	2
18	24	1
19	0	1
19	1	2
19	2	3
19	3	2
19	4	0
19	5	2
19	6	3
19	7	2
19	8	1
19	9	2
19	10	3
19	11	2
19	12	0
19	13	2
19	14	3
19	15	2
19	16	1
19	17	2
19	18	3
19	19	2
19	20	0
19	21	2
19	22	2
19	23	2
19	24	1
20	0	1
20	1	2
20	2	3
20	3	2
20	4	0
20	5	2
20	6	3
20	7	2
20	8	1
20	9	2
20	10	3
20	11	2
20	12	0
20	13	2
20	14	3
20	15	2
20	16	1
20	17	2
20	18	3
20	19	2
20	20	0
20	21	2
20	22	3
20	23	2
20	24	1
21	0	1
21	1	3
21	2	3
21	3	2
21	4	0
21	5	2
21	6	3
21	7	2
21	8	1
21	9	2
21	10	3
21	11	2
21	12	0
21	13	2
21	14	3
21	15	3
21	16	1
21	17	2
21	18	3
21	19	2
21	20	0
21	21	2
21	22	2
21	23	2
21	24	1
22	0	0
22	1	0
22	2	0
22	3	0
22	4	0
22	5	0
22	6	0
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
22	18	0
22	19	0
22	20	0
22	21	0
22	22	0
22	23	0
22	24	0
